eval_id,x,hub,f1,f2,f3,g1,g2,feasible
0,"[np.float64(0.17893481367543618), np.float64(0.4672684011434851), np.float64(0.9051438366771739), np.float64(0.652784802685132), np.float64(0.9669622001623905), np.float64(0.6399131657151546), np.float64(0.37050052710804804), np.float64(0.17735319182304865), np.float64(0.29830276735556926), np.float64(0.9198501605372782)]","[np.float64(0.7049563686092548), np.float64(1.0134588342744346)]",-29.322736740112305,0.374,2994.833108214056,-79.77996047064914,0.0,1
1,"[np.float64(0.5771775044961992), np.float64(0.5193842211443356), np.float64(0.49995502241119394), np.float64(0.9047040725533528), np.float64(0.05873521751558297), np.float64(0.4162706429924663), np.float64(0.32654466381127), np.float64(0.09344593349461805), np.float64(0.9897361675845034), np.float64(0.3582312185913814)]","[np.float64(0.16519817849612406), np.float64(1.3738856617154276)]",-44.68206787109375,1.0,3826.810232413969,74.12217734375517,0.0,0
2,"[np.float64(0.6220697409528387), np.float64(0.43974028393442544), np.float64(0.6442476693303388), np.float64(0.5149392859956807), np.float64(0.8756598515631787), np.float64(0.739900702350839), np.float64(0.7854340014599015), np.float64(0.2005303566832357), np.float64(0.01645945948648464), np.float64(0.5424458861963711)]","[np.float64(0.06928054281514673), np.float64(1.4066383891242173)]",-26.09162139892578,0.026,3117.3411271016416,-61.211881965937664,0.0,1
3,"[np.float64(0.43132345380885195), np.float64(0.33099943817048805), np.float64(0.7559488323569789), np.float64(0.11610473609591099), np.float64(0.8880321199869642), np.float64(0.5914192820348003), np.float64(0.4112686884886242), np.float64(0.17072977658825428), np.float64(0.6974639333086391), np.float64(0.8796672522975737)]","[np.float64(0.7831381598861666), np.float64(1.161703159463219)]",-45.647621154785156,0.7,3113.400457425079,-91.66607698869865,0.0,1
4,"[np.float64(0.4171774343880905), np.float64(0.9108220921659664), np.float64(0.7464710369587361), np.float64(0.5101225863270002), np.float64(0.7424842116732404), np.float64(0.3532556606165881), np.float64(0.43070700374480275), np.float64(0.4970226157004175), np.float64(0.7076778979003703), np.float64(0.3356970836114517)]","[np.float64(0.2745231222481424), np.float64(1.2628433756278878)]",-27.55997657775879,0.034,2640.0913468637877,-16.95528978813769,0.0,1
5,"[np.float64(0.5118814273652947), np.float64(0.8573010008865969), np.float64(0.3995968392250302), np.float64(0.841486558403682), np.float64(0.38328936307170336), np.float64(0.8851177060251493), np.float64(0.19316997569865946), np.float64(0.5257783000795696), np.float64(0.8267136201588152), np.float64(0.7065846822128775)]","[np.float64(0.7768996649034982), np.float64(1.1214802796391583)]",-35.65608215332031,0.052,2673.0646242012663,-50.56414592745085,0.0,1
6,"[np.float64(0.3151851034187104), np.float64(0.8929563307131257), np.float64(0.3987189364419349), np.float64(0.7115105508132997), np.float64(0.8270938070133592), np.float64(0.47403622225949027), np.float64(0.8166440705290728), np.float64(0.6823799448443975), np.float64(0.40168496892501016), np.float64(0.4653517170757224)]","[np.float64(0.9578187796514454), np.float64(1.022905556360409)]",-41.051124572753906,0.1,2221.531749737349,32.07200877485786,0.0,0
7,"[np.float64(0.28353426632010625), np.float64(0.6181307496852578), np.float64(0.21800593004626811), np.float64(0.054731143300722596), np.float64(0.07482644255422188), np.float64(0.8310576876132559), np.float64(0.6052685945074544), np.float64(0.25396254580418), np.float64(0.662682068619064), np.float64(0.7401312499629299)]","[np.float64(0.12544147718602344), np.float64(1.3981236128673569)]",-25.698808670043945,1.0,2900.19980293184,118.64511945326655,0.0,0
8,"[np.float64(0.12499955865727308), np.float64(0.7854702016115908), np.float64(0.4115541827996497), np.float64(0.70006605596892), np.float64(0.8122050151262458), np.float64(0.14566874185476875), np.float64(0.3015314021630472), np.float64(0.4100234308800571), np.float64(0.47233225860496875), np.float64(0.4959391441876757)]","[np.float64(0.6268693741886016), np.float64(1.0260262331786394)]",-39.40675735473633,0.644,2581.8112181704896,61.00720955656993,0.0,0
9,"[np.float64(0.0043001907504852666), np.float64(0.4038284511492043), np.float64(0.8276226232184107), np.float64(0.25882907767580354), np.float64(0.012996611642042799), np.float64(0.3953518057604567), np.float64(0.6710113104026503), np.float64(0.8848800971002195), np.float64(0.8398657742651049), np.float64(0.4965961443363097)]","[np.float64(0.19305252710204918), np.float64(1.293728501037669)]",-28.295804977416992,1.0,2799.486395175976,82.63978797527867,0.0,0
10,"[np.float64(0.4493700221843081), np.float64(0.16238519618917013), np.float64(0.7747330486829124), np.float64(0.9269667072846148), np.float64(0.531556426498312), np.float64(0.5928292560660468), np.float64(0.14533662442438278), np.float64(0.38245569953067815), np.float64(0.06655933206506481), np.float64(0.7572363648024241)]","[np.float64(0.7886019493535044), np.float64(1.0226511506319818)]",-46.30073547363281,0.446,3038.325827274841,-54.33871401898148,0.0,1
11,"[np.float64(0.5329964905168298), np.float64(0.9523085496828213), np.float64(0.7768585578074371), np.float64(0.365580543517224), np.float64(0.7741195095586619), np.float64(0.30174696680193824), np.float64(0.2788153200698916), np.float64(0.5718454658466616), np.float64(0.37478364972859823), np.float64(0.5888790694642251)]","[np.float64(0.9591271980466012), np.float64(1.0618171394810878)]",-41.67155075073242,0.063,2355.2782832422663,223.24625219508076,0.0,0
12,"[np.float64(0.8492845872814717), np.float64(0.28834976811030466), np.float64(0.8248313523805849), np.float64(0.021192485967230446), np.float64(0.061240492509463396), np.float64(0.5531682306732453), np.float64(0.7934942679678835), np.float64(0.9798728902634072), np.float64(0.5070309916890025), np.float64(0.4962855255378299)]","[np.float64(0.6855269659327039), np.float64(1.0204341015164433)]",-56.664669036865234,1.0,2409.0532388967085,182.89312856107813,0.0,0
13,"[np.float64(0.8621389210993113), np.float64(0.2120786478798098), np.float64(0.4285060656921795), np.float64(0.7188453664551908), np.float64(0.4504319488756726), np.float64(0.7800250945620328), np.float64(0.22875224889428014), np.float64(0.3654175239650753), np.float64(0.5478334919510167), np.float64(0.6044036215883223)]","[np.float64(0.12861068525179337), np.float64(1.4143105780566072)]",-35.40606689453125,0.267,3190.9953167139133,-147.97898317821233,0.0,1
14,"[np.float64(0.13135175626218798), np.float64(0.7905530029991071), np.float64(0.44095645603041267), np.float64(0.591796377331508), np.float64(0.3665832090380381), np.float64(0.2418497993311799), np.float64(0.3891706526204568), np.float64(0.20099980305076082), np.float64(0.786219021931593), np.float64(0.4866878941503999)]","[np.float64(0.8933662082018335), np.float64(1.0221212158679571)]",-41.197940826416016,0.599,2936.885522944692,-240.01208852514225,0.0,1
15,"[np.float64(0.07481951342173032), np.float64(0.5673117940149709), np.float64(0.20708851409187945), np.float64(0.4943279727816198), np.float64(0.4055637897834451), np.float64(0.3440417285659956), np.float64(0.4419650139988215), np.float64(0.7179064872954681), np.float64(0.7330076988314537), np.float64(0.35373439562102404)]","[np.float64(0.8451299218410129), np.float64(1.1392159409836058)]",-36.75161361694336,1.0,2732.5438332035474,-55.07572335404268,0.0,1
16,"[np.float64(0.8827535612958681), np.float64(0.5618889960245675), np.float64(0.9244529781497786), np.float64(0.05478953396800346), np.float64(0.8929034742149677), np.float64(0.461904012674792), np.float64(0.07761667129692928), np.float64(0.894418494807833), np.float64(0.3514911145265569), np.float64(0.5866398392914269)]","[np.float64(0.2847061000604977), np.float64(1.2252772348542273)]",-45.910213470458984,1.0,3719.5282054464224,43.421917534309074,0.0,0
17,"[np.float64(0.3557449173694821), np.float64(0.20086019503623131), np.float64(0.5488425883330939), np.float64(0.05910691087058184), np.float64(0.3378527236027137), np.float64(0.10659926752742499), np.float64(0.14630354452115713), np.float64(0.0560272129170265), np.float64(0.601449317003417), np.float64(0.29677840171116987)]","[np.float64(0.806594971163718), np.float64(1.149780223272999)]",-12.514946937561035,1.0,3150.8152884595706,-14.485331638552168,0.0,1
18,"[np.float64(0.7623876705634723), np.float64(0.35962974597936526), np.float64(0.5951958360281309), np.float64(0.8792311853358806), np.float64(0.49501061038966987), np.float64(0.6410984793573328), np.float64(0.1362369449940265), np.float64(0.20413929496933914), np.float64(0.8791822930263492), np.float64(0.6899085447642473)]","[np.float64(0.7550916380826702), np.float64(1.0398253529232335)]",-31.620237350463867,0.066,2421.70119418719,-156.59144861342082,0.0,1
