eval_id,x,hub,f1,f2,f3,g1,g2,g3,feasible
15,"[0.9144561221029246, 0.5858895145468258, 0.6679799243985048, 0.7898093832755049, 0.1836603870914313, 0.3187820814455795, 0.23874477955495155, 0.12765638766488252, 0.4229460447715928, 0.758249565648491]","[0.6423134569639611, 1.0768760939477686]",-22.85169219970703,0.02,2984.723167485701,21.788233872218285,3.0,0.0,0
16,"[0.5542825390272328, 0.24062604181377323, 0.36528505670346056, 0.96536926984468, 0.12046907762387415, 0.4381450103309691, 0.7813658931947177, 0.043090690634595696, 0.03046480812489505, 0.46581253099537934]","[0.6423134569639611, 1.0768760939477686]",-48.83353042602539,0.02,3813.1700574173274,-310.7544861799364,2.0,0.0,0
17,"[0.20785494157193374, 0.5675652419333407, 0.9363122242578448, 0.8533136562599993, 0.8114328725032335, 0.3351350375860954, 0.9578419522589532, 0.07389597584523522, 0.16782365513224518, 0.2963472178481993]","[0.6423134569639611, 1.0768760939477686]",-41.63924026489258,0.01,2851.4968203488625,43.09507077192737,4.0,0.0,0
18,"[0.7178343572828981, 0.850551259756355, 0.2754808528630017, 0.7392607956370342, 0.6629613377688489, 0.7187932050275267, 0.9796258488514935, 0.6283084586743911, 0.07962933757560675, 0.32151551530824796]","[0.6423134569639611, 1.0768760939477686]",-53.595947265625,0.0,2714.4400545057983,-170.72017157700702,1.0,0.0,0
19,"[0.16146904266095086, 0.46188359707756765, 0.6419175904033568, 0.9051507074391362, 0.28879164900942544, 0.5494715578347591, 0.5770798329599061, 0.49866886134850175, 0.17791419839100442, 0.35622164118008504]","[0.6423134569639611, 1.0768760939477686]",-34.25837707519531,0.01,2757.8117809691385,-75.27726953416715,1.0,0.0,0
20,"[0.774382020078661, 0.2064226800628115, 0.7715370379067442, 0.07837290492218618, 0.8953850271326209, 0.6520981168659544, 0.7444418905939161, 0.7702414655724522, 0.21213914882577256, 0.8794320598717107]","[0.6423134569639611, 1.0768760939477686]",-42.62029266357422,0.02,2833.216705598921,55.03930560159341,2.0,0.0,0
21,"[0.20557265759667276, 0.26268325844768114, 0.02094484416240605, 0.27068090144591017, 0.5879702166328254, 0.5513756583147158, 0.41628477156613086, 0.28176023673675177, 0.9191304909520741, 0.1775164934316158]","[0.6423134569639611, 1.0768760939477686]",-39.23221206665039,0.07,2673.351073874237,7.557674429773186,2.0,0.0,0
22,"[0.4275645425413398, 0.6373601174260564, 0.42099270734434335, 0.5749995088018878, 0.5529869643862163, 0.49293616218995406, 0.5324478498483587, 0.3107930117753044, 0.9758320136707291, 0.8870121467184444]","[0.6423134569639611, 1.0768760939477686]",-21.458051681518555,0.01,1621.8674517239035,99.48995108251174,3.0,0.0,0
23,"[0.015272435183649069, 0.8647679793230478, 0.4875580786370386, 0.29526571288950065, 0.3657350555800003, 0.2030974028229966, 0.5694728969947693, 0.36880428868132864, 0.6788297965535495, 0.43523470740661496]","[0.6423134569639611, 1.0768760939477686]",-44.21868133544922,0.01,2946.755654057053,20.738577437012736,1.0,0.0,0
24,"[0.7768482879275864, 0.9936568534146455, 0.1381690550005069, 0.49465670555808827, 0.11771307998234448, 0.9461829725207951, 0.4849152370071329, 0.024923602435105274, 0.0763549914853281, 0.23483907948984994]","[0.6423134569639611, 1.0768760939477686]",-37.90608215332031,0.0,3188.7237762510704,-99.51286038756263,4.0,0.0,0
25,"[0.9919930979414978, 0.11013211899741604, 0.6220697409528387, 0.3547334554703645, 0.9761006353570684, 0.16222855752056586, 0.9159237744769517, 0.739900702350839, 0.9338325089891943, 0.5584557017778705]","[0.6423134569639611, 1.0768760939477686]",-30.92024040222168,0.43,2818.4419864311744,-156.75601786757983,4.0,0.0,0
26,"[0.9868402765278871, 0.43974028393442544, 0.6442476693303388, 0.5149392859956807, 0.8756598515631787, 0.505794352818757, 0.7854340014599015, 0.2005303566832357, 0.01645945948648464, 0.5424458861963711]","[0.6423134569639611, 1.0768760939477686]",-32.09645080566406,0.0,2681.43778202676,56.89214017769791,2.0,0.0,0
27,"[0.04618702854343115, 0.9994364677711847, 0.43132345380885195, 0.010231902156670136, 0.33099943817048805, 0.9377589260828116, 0.7373054252872605, 0.5914192820348003, 0.10844932301271404, 0.4112686884886242]","[0.6423134569639611, 1.0768760939477686]",-56.161827087402344,0.99,3645.636572639265,-91.66607698869865,3.0,0.0,0
28,"[0.7559488323569789, 0.11610473609591099, 0.8880321199869642, 0.7419162010314087, 0.5220921065907778, 0.17072977658825428, 0.6974639333086391, 0.8796672522975737, 0.9835673000846709, 0.7744687729754793]","[0.6423134569639611, 1.0768760939477686]",-42.035125732421875,0.02,2799.6976566701524,-46.81450397997753,2.0,0.0,0
29,"[0.4171774343880905, 0.9108220921659664, 0.7464710369587361, 0.11221292406831795, 0.5101225863270002, 0.3532556606165881, 0.43070700374480275, 0.4970226157004175, 0.1268760779065603, 0.7076778979003703]","[0.6423134569639611, 1.0768760939477686]",-44.84500503540039,0.0,2708.457057102499,-43.37359375375945,2.0,0.0,0
30,"[0.7424842116732404, 0.00921065799657117, 0.18956699187220505, 0.5664491371813656, 0.4590016363424163, 0.3356970836114517, 0.5333564262211142, 0.32011996751753846, 0.3918329723107977, 0.050458948610459076]","[0.6423134569639611, 1.0768760939477686]",-51.847232818603516,0.02,3153.9088027822118,-55.94526327800804,4.0,0.0,0
31,"[0.18301541483209494, 0.5118814273652947, 0.8573010008865969, 0.3995968392250302, 0.09751514963535424, 0.8418955837519252, 0.8851177060251493, 0.19316997569865946, 0.5257783000795696, 0.08535616172648453]","[0.6423134569639611, 1.0768760939477686]",-57.462852478027344,0.07,3399.86392751079,-300.81804733205456,2.0,0.0,0
32,"[0.841486558403682, 0.38328936307170336, 0.5179331099356654, 0.3151851034187104, 0.8929563307131257, 0.8267136201588152, 0.7065846822128775, 0.7476535197594388, 0.47403622225949027, 0.8166440705290728]","[0.6423134569639611, 1.0768760939477686]",-26.07138442993164,0.0,1813.9305274417757,164.59166259984994,1.0,0.0,0
33,"[0.30996375517120167, 0.3987189364419349, 0.7115105508132997, 0.8270938070133592, 0.9606887020277379, 0.8817710808483114, 0.6823799448443975, 0.40168496892501016, 0.4653517170757224, 0.9366989347480371]","[0.6423134569639611, 1.0768760939477686]",-39.169429779052734,0.02,2506.203156754935,32.07200877485786,4.0,0.0,0
34,"[0.9002654171528618, 0.14704654594174182, 0.7411145400827215, 0.5292209856627658, 0.16078650452811283, 0.9083534610543227, 0.6483341011050769, 0.5287591672457896, 0.20143090853695012, 0.7831343292771509]","[0.6423134569639611, 1.0768760939477686]",-50.93180847167969,0.02,3015.3109668756897,26.171151451205162,2.0,0.0,0
35,"[0.1496055765932932, 0.07706848791542142, 0.024011331493556054, 0.2929158759379945, 0.2864487199904745, 0.7281969713021883, 0.41225211081351676, 0.6603726714939671, 0.46770008428541465, 0.5157744326426499]","[0.6423134569639611, 1.0768760939477686]",-14.365425109863281,0.04,2117.2942686434612,171.15515516819812,2.0,0.0,0
36,"[0.6576467600079774, 0.7770490207042496, 0.9421656316593494, 0.8731312620415899, 0.993906309433891, 0.16691335878547553, 0.7825153662907529, 0.38069524000658606, 0.09368549297431539, 0.21220747485396863]","[0.6423134569639611, 1.0768760939477686]",-13.633962631225586,0.0,2218.6614588444713,-30.023933099419025,2.0,0.0,0
