eval_id,x,hub,f1,f2,f3,g1,g2,g3,feasible
34,"[0.70006605596892, 0.8122050151262458, 0.29045961628587613, 0.7550132519180535, 0.6089078108765937, 0.47233225860496875, 0.4959391441876757, 0.19457688761579417, 0.2195079915141478, 0.6014041791288685]","[0.6423134569639611, 1.0768760939477686]",-27.71138572692871,0.0,2455.3192669550895,61.00720955656993,1.0,0.0,0
35,"[0.9632475898482437, 0.2075204227297318, 0.33089948499767685, 0.895368602951573, 0.2225521522559719, 0.08962073043795493, 0.6615530572198147, 0.12858287186718842, 0.7314763939923757, 0.09521030422128629]","[0.6423134569639611, 1.0768760939477686]",-40.713768005371094,0.01,3872.3654825993517,63.05103770130253,4.0,0.0,0
36,"[0.8424122866034477, 0.9295786250874855, 0.23087836206189072, 0.41791291612573434, 0.0043001907504852666, 0.5699619505238555, 0.5171815371217462, 0.13356210614198927, 0.6840174887857596, 0.3953518057604567]","[0.6423134569639611, 1.0768760939477686]",-48.61430740356445,0.01,3074.127338912807,82.1672805883054,3.0,0.0,0
37,"[0.23050736777684355, 0.17768312108581985, 0.07519442630360906, 0.012996611642042799, 0.8380952953924874, 0.3994430020003472, 0.484130910594359, 0.9568421661505032, 0.4965961443363097, 0.13251492264908082]","[0.6423134569639611, 1.0768760939477686]",-33.00898361206055,0.92,3287.831879943534,85.64826711118621,2.0,0.0,0
38,"[0.4275645425413398, 0.6373601174260564, 0.42099270734434335, 0.5749995088018878, 0.5529869643862163, 0.49293616218995406, 0.5324478498483587, 0.3107930117753044, 0.9758320136707291, 0.8870121467184444]","[0.6423134569639611, 1.0768760939477686]",-21.458051681518555,0.01,1621.8674517239035,99.48995108251174,3.0,0.0,0
39,"[0.8142430618716505, 0.615508274358867, 0.7660363414662829, 0.6068143810342034, 0.6283478623630906, 0.13476145162112996, 0.40283347552957394, 0.06771436062054059, 0.8570786899866468, 0.32133769545352076]","[0.6423134569639611, 1.0768760939477686]",-8.531303405761719,0.0,1842.366634701642,114.499686236121,1.0,0.0,0
40,"[0.21800593004626811, 0.3953770523791057, 0.054731143300722596, 0.3164785602685367, 0.07482644255422188, 0.25396254580418, 0.03387269818171201, 0.662682068619064, 0.720244476030497, 0.7401312499629299]","[0.6423134569639611, 1.0768760939477686]",-30.873035430908203,0.07,2547.2109537865017,118.64511945326655,3.0,0.0,0
41,"[0.7571316253352183, 0.5988506638162991, 0.6385458531009636, 0.28353426632010625, 0.6181307496852578, 0.36956669018657895, 0.3799349341788377, 0.681937037573606, 0.8310576876132559, 0.6052685945074544]","[0.6423134569639611, 1.0768760939477686]",-19.99098777770996,0.02,2073.533976829782,119.76808342748106,2.0,0.0,0
42,"[0.5258168433452484, 0.6631806204725954, 0.4477019015387208, 0.19539759987155403, 0.43531315595064457, 0.43091206068443144, 0.012840482366806572, 0.3651808011323914, 0.5948658710060528, 0.2999915037451498]","[0.6423134569639611, 1.0768760939477686]",-21.06226348876953,0.01,2554.3120365386494,141.40768751578332,1.0,0.0,0
43,"[0.4038284511492043, 0.1949619252207303, 0.32508812283388366, 0.8276226232184107, 0.25882907767580354, 0.6710113104026503, 0.8760714488267184, 0.8268079808374883, 0.8848800971002195, 0.8398657742651049]","[0.6423134569639611, 1.0768760939477686]",-27.955842971801758,0.11,1643.7974109435372,139.4453735146278,3.0,0.0,0
44,"[0.6215032596259377, 0.42019325992063383, 0.46997091240616984, 0.5771775044961992, 0.0018023536068190182, 0.3721443167968299, 0.49482967791705623, 0.6756392228496231, 0.4162706429924663, 0.7940310607755042]","[0.6423134569639611, 1.0768760939477686]",-35.898887634277344,0.42,2242.0035741318384,147.75899994041845,2.0,0.0,0
45,"[0.659569533072841, 0.35506101458853867, 0.313666741563808, 0.6631833646572645, 0.47300486086298876, 0.8811861793495235, 0.31867896643874516, 0.11784964452439528, 0.8196545814372104, 0.5582973969485474]","[0.6423134569639611, 1.0768760939477686]",-17.50359344482422,0.0,1755.710816828849,149.27164547003017,1.0,0.0,0
46,"[0.9584801136956184, 0.7450348866476518, 0.2157905760841189, 0.7173945053263936, 0.34378554600189437, 0.6989151716524886, 0.8894983573045284, 0.6501660583206906, 0.8422279297235258, 0.6887947057130477]","[0.6423134569639611, 1.0768760939477686]",-23.675552368164062,0.01,1810.8078385809667,160.7368877929929,1.0,0.0,0
