eval_id,x,hub,f1,f2,f3,g1,g2,feasible
20,"[0.5444618951846689, 0.26718469116517973, 0.8807389678583045, 0.7443155268923154, 0.46192160344674327, 0.3036169314527529, 0.8851265554500901, 0.13764199567402158, 0.6990966888588673, 0.3975088220024602]","[0.6787100568610784, 1.0166286213027265]",-34.042877197265625,0.162,2782.38097700977,43.64483913675511,0.0,0
21,"[0.6989471733513501, 0.683541574470258, 0.024884477720097387, 0.3060414915822871, 0.09820299795625209, 0.9811954308212117, 0.0788765837661155, 0.4534815367450279, 0.178935698624885, 0.6040155277723563]","[0.1927071883170337, 1.2301627683718062]",-46.720455169677734,1.0,3580.517546225617,-27.063548842282046,0.0,1
22,"[0.5146345509864684, 0.523665362712431, 0.807371768156787, 0.8096182558531588, 0.6230074639391648, 0.35754266000513846, 0.5402158483968539, 0.4042686263824271, 0.31490733645323854, 0.07352333795544808]","[0.2553795912850798, 1.3155961273676091]",-22.828033447265625,0.01,2821.9788725341905,103.01895128126193,0.0,0
23,"[0.7187466485264637, 0.18417164982218692, 0.9309289841508848, 0.5872382977165849, 0.9196404658756056, 0.9231949897497057, 0.7261618291689391, 0.552249632089859, 0.2753536552389062, 0.8265148965654883]","[0.09491963452766844, 1.290031229287207]",-39.876956939697266,0.353,3465.664501840776,-119.57462300049093,0.0,1
24,"[0.6269361437482296, 0.18109314098630847, 0.9021275781945923, 0.9597781863701643, 0.22496127568648616, 0.9403360826230013, 0.11695864466562156, 0.3153229844942612, 0.7562731115909688, 0.6265866671500011]","[0.9649125473896683, 1.0940632306248488]",-54.19026184082031,0.363,3625.4032670958504,-381.90349203323365,0.0,1
25,"[0.4131475727716367, 0.9124032923424445, 0.25106740906126734, 0.8833613837164876, 0.11565570042275553, 0.7169231946608777, 0.30800332117408546, 0.6811403246607249, 0.630371301005869, 0.6522845511029491]","[0.046057965371024356, 1.3205362376764218]",-51.705787658691406,0.706,2962.770515120848,21.248792429994552,0.0,0
26,"[0.6575978871871808, 0.4893317912796302, 0.4168556579356446, 0.6588672320408605, 0.9332577139513735, 0.1427164803115275, 0.06774882641023494, 0.1623406733602244, 0.6386067407551226, 0.6531862784698638]","[0.6710867904552449, 1.0487740481126815]",-30.93891143798828,0.034,2473.9669358948217,53.39288219663723,0.0,0
27,"[0.43173299469882775, 0.4340139705353385, 0.5563822187438876, 0.7260025222504382, 0.7995120725748841, 0.19244940411694578, 0.06709562178443895, 0.08847289272101, 0.39179460837642965, 0.10356728322190056]","[0.12082182149709664, 1.4058815123099957]",-13.739645957946777,0.03,3285.944064025828,44.96627177390951,0.0,0
28,"[0.8601914027908943, 0.2084726977879202, 0.06853897181242108, 0.867626714821944, 0.7618227765790141, 0.45626972969776824, 0.22437203715511944, 0.3254021317503606, 0.679700535750702, 0.6813597714281255]","[0.1346573339323464, 1.3822718441724227]",-29.982162475585938,1.0,3557.0497994741677,75.64018419295249,0.0,0
29,"[0.4759415404873387, 0.8065653226436704, 0.8521227640940977, 0.48147006803590653, 0.21340148890196164, 0.43399828273717755, 0.46476109405478294, 0.12547500935241174, 0.1748252856388649, 0.1360219765335564]","[0.8411494487461688, 1.0900629838010207]",-38.66233825683594,0.265,3051.194184746156,-180.04893956445272,0.0,1
30,"[0.3960737495166723, 0.6077860632196825, 0.28073881275572976, 0.9710365660888092, 0.8973020791176108, 0.2269716767801182, 0.4169363525250378, 0.8515180726038478, 0.7838058235060442, 0.5934547497866065]","[0.7310091883150744, 1.1197840403401638]",-32.20829772949219,0.145,2941.13678250783,-88.21836302055476,0.0,1
31,"[0.6054066424867802, 0.1389448567745346, 0.6115741323879332, 0.697612695599998, 0.7824753772428598, 0.28272518566029703, 0.6861051196814519, 0.24729102823595994, 0.12788775515923678, 0.385581443709322]","[0.9232750569624535, 1.0638945241420816]",-38.13225555419922,0.558,2828.926294331704,192.05577657721193,0.0,0
32,"[0.3850541712746295, 0.4494071415681936, 0.7165945092612049, 0.3188925007886103, 0.8395235875238811, 0.5866457206400852, 0.06996514963645684, 0.8931072707668967, 0.4416977351221908, 0.576100982060954]","[0.2192999761832844, 1.361037820645222]",-38.51520919799805,0.099,3379.3596206178972,-13.55381021990894,0.0,1
33,"[0.8505027077264864, 0.3696641065187357, 0.2036222965230723, 0.9726223773831725, 0.07766082560771503, 0.5526734083388856, 0.22233589635585937, 0.7534216395615138, 0.7288973388456872, 0.25320840230371877]","[0.7907985343773296, 1.1081158015431876]",-41.88052749633789,0.983,3379.6219617523884,-105.33258723170314,0.0,1
34,"[0.14791601258820386, 0.9446769399217294, 0.7774006504214518, 0.3484331364349479, 0.5721595507131221, 0.5774982419233301, 0.6062259162272958, 0.5070464852279064, 0.17366350945609033, 0.12019875903079391]","[0.17899030902075735, 1.3908447912675275]",-46.602840423583984,0.511,3545.351355212415,-72.11057872872937,0.0,1
35,"[0.9250948352130012, 0.3311825226016072, 0.5797130679770504, 0.05986299388263128, 0.9482348131798805, 0.433957247348262, 0.23054788891893196, 0.23352020652782812, 0.18897480380296883, 0.9794744563614607]","[0.9353357031842382, 1.0809238665582268]",-51.20375442504883,1.0,2617.7025591523125,-162.2430551199107,0.0,1
36,"[0.5986970343617345, 0.9098357053421351, 0.028665546542230413, 0.8323759798162346, 0.6910131701040813, 0.9887154511968237, 0.8826982268239402, 0.40778424739514796, 0.4219920395936694, 0.8226668066468595]","[0.27252726156159646, 1.3698110409775708]",-42.27745056152344,1.0,3541.546396316599,-64.63903120844293,0.0,1
37,"[0.5977801425367676, 0.3883815508963131, 0.6443552781079288, 0.7556250391415148, 0.5659030410581901, 0.9464810235391327, 0.20293371175962438, 0.2068029306483219, 0.5426524070946493, 0.4867503574556262]","[0.11859017257921545, 1.4251811838971697]",-40.62548065185547,0.046,3092.3583632942855,-77.64076964751678,0.0,1
38,"[0.7888974391859744, 0.8493063223277797, 0.5744663079703887, 0.47365262875277814, 0.06185299650405951, 0.6541517919741594, 0.9074304033269568, 0.01495251864888425, 0.28130792498253576, 0.6201888385631475]","[0.7375844842057271, 1.1659444609023801]",-50.210609436035156,1.0,3080.5772313183707,-181.96726755808487,0.0,1
39,"[0.731679431698802, 0.9015780663356633, 0.7602272957574201, 0.01774287986370393, 0.6141356490418077, 0.9839734835315327, 0.706900283105786, 0.5826902535133086, 0.7651152941397239, 0.9332686796833188]","[0.2707508612994967, 1.2853814263053316]",-39.38153076171875,1.0,2852.5606583051576,38.64589797787778,0.0,0
40,"[0.8024638955114086, 0.4558775857561771, 0.9171786780265561, 0.5976068662680776, 0.18544469812336217, 0.28631050159214855, 0.7004081507721098, 0.8369385389904099, 0.7879887279644382, 0.8429955876025622]","[0.9157477452286564, 1.1117844601812514]",-38.00126647949219,0.349,2684.0969212436194,-25.67382597617518,0.0,1
41,"[0.2759916762592879, 0.4559530832382138, 0.2696269573248512, 0.2742956410287274, 0.9474076815242122, 0.27471950581594307, 0.3386480448096616, 0.6468888732787924, 0.6948639729260562, 0.7381985717985815]","[0.16684541272706327, 1.4160764442851774]",-37.756343841552734,0.156,3269.8210026908123,171.66458637222945,0.0,0
42,"[0.7601385207050393, 0.41672114244431313, 0.1638041884761432, 0.7085398498245333, 0.25005414528404135, 0.5730902010053884, 0.6571927421509578, 0.576419764221379, 0.08876542356492612, 0.12543061793542365]","[0.8408392987402022, 1.0824026711286767]",-44.62968444824219,0.438,3423.042458605179,-190.49874372077585,0.0,1
43,"[0.4331683654633044, 0.4072766520839435, 0.050801192381056404, 0.8284219032180935, 0.6707334455734223, 0.3014797552348397, 0.19529924462823633, 0.2345415037686902, 0.18523806835564982, 0.916600166351273]","[0.7289671978318901, 1.0775394349453076]",-35.585487365722656,1.0,2850.746623541398,69.84894270932887,0.0,0
