eval_id,x,order,f1,f2,f3,g1,g2,feasible
32,"[0.25576403737068176, 0.1453447937965393, 0.11169933527708054, 0.19439148902893066, 0.7417871356010437, 0.8530980944633484, 0.7620732188224792, 0.7715578079223633, 0.09164690971374512, 0.16772380471229553]","[5, 3, 1, 2, 4, [1.1753865480422974, 1.2024384438991547]]",-33.07105255126953,0.727,4959.056223530343,193.73933407105545,1.0,0
33,"[0.8198063969612122, 0.635825514793396, 0.6615418791770935, 0.814720630645752, 0.2181960493326187, 0.3400918245315552, 0.08942002803087234, 0.20562435686588287, 0.9754862189292908, 0.6810115575790405]","[2, 3, 1, 4, 5, [1.4190301299095154, 1.4884760677814484]]",-38.604331970214844,0.25,5384.47443793474,53.64219938750065,1.0,0
34,"[0.5631561279296875, 0.4137951731681824, 0.28583770990371704, 0.4293699562549591, 0.3794955611228943, 0.22380197048187256, 0.6791063547134399, 0.35046523809432983, 0.5449436902999878, 0.831998348236084]","[1, 2, 4, 3, 5, [1.0670909136533737, 1.3394501507282257]]",-30.29802894592285,0.135,4284.438332999015,26.896137869074522,1.0,0
35,"[0.0021655429154634476, 0.9301507472991943, 0.9880096912384033, 0.5496990084648132, 0.9183491468429565, 0.704101026058197, 0.46940484642982483, 0.65867680311203, 0.39572444558143616, 0.3135511577129364]","[4, 5, 3, 2, 1, [1.3381262719631195, 1.0946341529488564]]",-35.63447570800781,1.0,4897.474269290429,-8.497182056795168,0.0,1
36,"[0.2108350396156311, 0.29249876737594604, 0.6128837466239929, 0.7000649571418762, 0.8253079056739807, 0.8754724264144897, 0.5937684178352356, 0.44998255372047424, 0.6322699785232544, 0.588687002658844]","[1, 5, 4, 2, 3, [1.2979291081428528, 1.0481125824153423]]",-34.82475662231445,0.269,4453.256127492995,30.98642425726149,1.0,0
37,"[0.6459711194038391, 0.801041841506958, 0.16075798869132996, 0.32185882329940796, 0.34950360655784607, 0.4274000823497772, 0.3044770359992981, 0.5081340670585632, 0.3088863492012024, 0.07051113992929459]","[3, 2, 5, 4, 1, [1.0464894659817219, 1.2599924802780151]]",-51.77353286743164,0.454,4878.839996841571,-77.7988488015456,0.0,1
38,"[0.8932260274887085, 0.024324005469679832, 0.7863926887512207, 0.9340802431106567, 0.06061151996254921, 0.012470439076423645, 0.9641096591949463, 0.9338194131851196, 0.2389405071735382, 0.40878424048423767]","[2, 4, 5, 3, 1, [1.443602293729782, 1.4116848707199097]]",-64.52117156982422,1.0,8941.109753958224,-131.53871138864542,0.0,1
39,"[0.4533292353153229, 0.5069922208786011, 0.4866269528865814, 0.055874016135931015, 0.5223740339279175, 0.5557500123977661, 0.13764788210391998, 0.11782584339380264, 0.8277040123939514, 0.9223499894142151]","[3, 5, 1, 4, 2, [1.2116129696369171, 1.1552111506462097]]",-41.78232192993164,1.0,6249.9303891474665,204.63495176510673,1.0,0
40,"[0.3795831501483917, 0.4645760655403137, 0.8565736413002014, 0.2906253933906555, 0.18345342576503754, 0.6484407186508179, 0.5240959525108337, 0.37795931100845337, 0.7027155160903931, 0.2577661871910095]","[4, 3, 1, 2, 5, [1.253163754940033, 1.347697377204895]]",-30.102462768554688,0.357,4828.900933363712,78.32230568570324,1.0,0
41,"[0.9435315728187561, 0.9418690204620361, 0.4318077564239502, 0.6687669157981873, 0.6436880230903625, 0.1697515994310379, 0.32751697301864624, 0.5699298977851868, 0.3639291822910309, 0.7705957293510437]","[5, 2, 4, 1, 3, [1.0290065966546535, 1.0932229086756706]]",-29.14642906188965,0.03,3830.315214142604,-10.954259502178502,1.0,0
42,"[0.689443826675415, 0.22737686336040497, 0.5585415363311768, 0.08714249730110168, 0.9461299180984497, 0.27025625109672546, 0.9097590446472168, 0.9882388114929199, 0.18387506902217865, 0.7497378587722778]","[3, 4, 2, 5, 1, [1.488367646932602, 1.2352221608161926]]",-47.65923309326172,0.9,6523.1197127482865,-315.22227138850485,0.0,1
43,"[0.12830303609371185, 0.7412945032119751, 0.23141568899154663, 0.9652841091156006, 0.46893125772476196, 0.7826443910598755, 0.2386316955089569, 0.05411028116941452, 0.757281482219696, 0.23181001842021942]","[1, 5, 3, 2, 4, [1.2290958613157272, 1.4488564729690552]]",-56.305885314941406,0.62,5563.551927745628,-202.07656051900886,0.0,1
