eval_id,x,order,f1,f2,f3,g1,g2,feasible
10,"[0.35788406170316334, 0.12349009989427318, 0.17568277436694946, 0.5872758937359638, 0.24521262185340265, 0.9883316913157574, 0.408068468575542, 0.42286450981546664, 0.713530441757426, 0.4101757521025574]","[4, 1, 2, 5, 3, [1.2677472536417917, 1.1090675421717495]]",-25.160284,0.652,3272.0905128995387,161.58522666626715,0,0
11,"[0.08811374729848875, 0.21325139497845158, 0.2953154543420845, 0.8670559738585845, 0.1912195618864082, 0.9249025648133972, 0.6280100758749635, 0.9969233598024567, 0.9941888949648053, 0.4447721166675196]","[4, 1, 2, 3, 5, [1.4405502467910432, 1.4362763457742629]]",-36.33615,0.891,4613.4949165418175,-55.5931211134976,0,1
12,"[0.6914136338548027, 0.9696970195507112, 0.1508269641294765, 0.18424563254073212, 0.28054972764389585, 0.10484996364895394, 0.7959761153405731, 0.9916771691263823, 0.10044681355695051, 0.0033356108310241828]","[4, 2, 1, 5, 3, [1.326113432201265, 1.4264753782546054]]",-35.527725,0.495,8273.49071647397,24.058180369681082,1,0
13,"[0.20942461412779334, 0.1106626662296426, 0.024685688688828256, 0.9551638949246493, 0.4831240070627615, 0.0661541473985241, 0.19962067162718633, 0.21437297521782395, 0.02630290360290355, 0.2661506974100236]","[3, 5, 2, 4, 1, [1.0938531889558392, 1.0193371006415612]]",-22.615322,1.0,6311.487819780429,106.61240562224296,1,0
14,"[0.9003212664126341, 0.8395123116483919, 0.1909509653458854, 0.7978910973260862, 0.8683749788697678, 0.6009132051037237, 0.5969373471618826, 0.5301656599246548, 0.22129218821187013, 0.08856572976632737]","[3, 4, 2, 5, 1, [1.2159081891337378, 1.291367046096338]]",-23.041168,0.334,5596.928684171011,150.43636155460365,0,0
15,"[0.9523461665801799, 0.11665349954175708, 0.3124470132534046, 0.5478969750204272, 0.37323615969547463, 0.9716979617800336, 0.7644710806083375, 0.36762106083791335, 0.5749004164344368, 0.6778765325701683]","[4, 1, 5, 2, 3, [1.11249325595524, 1.3269772959533663]]",-41.66105,0.696,4782.816335012369,-85.92528225297008,0,1
16,"[0.9271025584093607, 0.5058116353066808, 0.19049038373597105, 0.1302460855038332, 0.744594369868633, 0.5052570867327736, 0.6833915248731005, 0.8833875848262175, 0.03890915658968175, 0.8146213839952073]","[3, 1, 2, 5, 4, [1.4844396846067054, 1.1441524866278752]]",-42.16862,0.608,6445.524812730373,-202.10774996479074,1,0
17,"[0.1946672524657942, 0.687982161163145, 0.7479296290774035, 0.8456960339503545, 0.326015785399407, 0.4310843576465714, 0.8121382063700201, 0.3963921706538608, 0.8196083484543819, 0.5982258468660145]","[1, 4, 2, 5, 3, [1.4357054963184663, 1.1694631444448937]]",-42.81918,0.317,5413.743584530835,-11.148511646411407,2,0
18,"[0.04384650325754491, 0.33138667100601715, 0.5251989391842748, 0.41186451756962916, 0.4603959033029712, 0.7702551358280234, 0.636065471803193, 0.4100727077018552, 0.5669130713114856, 0.14849626164967367]","[2, 5, 4, 3, 1, [1.461540185560034, 1.0116085451581485]]",-39.11749,1.0,4851.919512833994,75.15643206147473,0,0
19,"[0.9137105222490122, 0.3861148638467603, 0.23157058622399718, 0.5971218652138488, 0.43820210184062725, 0.9585949577181044, 0.0959462652968206, 0.37449941507581275, 0.31299030837529196, 0.6207705729620251]","[5, 4, 3, 1, 2, [1.2524895278938377, 1.4321036639048526]]",-60.328785,0.225,6292.949653056289,-252.5081175140291,1,0
20,"[0.8201985485470301, 0.3851602614504256, 0.92379321481082, 0.3011909724403149, 0.6291610666084853, 0.7436259728458406, 0.002466987432925949, 0.6496443838063616, 0.7306887136253271, 0.8810942697173683]","[5, 3, 4, 2, 1, [1.0881322239264704, 1.0441276831551491]]",-45.27278,0.113,5136.685517143472,18.881034955868984,1,0
21,"[0.10112520830484606, 0.8091308869896926, 0.24006155019959785, 0.1318631735746596, 0.30656385533797526, 0.6620935472780781, 0.2724445394582361, 0.5286857200274091, 0.08861618956254635, 0.19376098491489602]","[5, 1, 4, 2, 3, [1.1372558915950421, 1.2064860514705384]]",-39.59282,0.792,6202.2955987825035,-69.02359490749961,0,1
22,"[0.7009597801817462, 0.06941741744952212, 0.7697499075125018, 0.8185770992590832, 0.003978831853624132, 0.520705652602143, 0.2739282077646287, 0.9377850549802718, 0.7649873993610625, 0.18601378700472804]","[5, 3, 1, 2, 4, [1.0064161140077554, 1.3059061013230981]]",-43.451687,1.0,7620.983170594236,69.34281015714177,1,0
23,"[0.48587013056781925, 0.6553023007599873, 0.34013620940756406, 0.14995891662815752, 0.022543057822015378, 0.787802030598833, 0.46523669138826207, 0.21271791268220253, 0.7545360743001065, 0.49287137661889613]","[2, 1, 4, 3, 5, [1.400512277659143, 1.2021163715265046]]",-43.762844,1.0,4579.365926473284,-233.05876228233797,0,1
24,"[0.792819828198334, 0.9161651892219552, 0.7174308183798177, 0.17058225280255745, 0.3461045141074238, 0.07190589279694659, 0.26412159555796066, 0.15195173563618425, 0.01676805658218139, 0.1555795582176529]","[5, 3, 2, 4, 1, [1.20283023473811, 1.226303250375121]]",-35.305855,0.405,5635.034548713248,68.73790822314515,2,0
25,"[0.3882391303799966, 0.1503119202396359, 0.41839318296934913, 0.3530897870239472, 0.893077789521044, 0.8224684890795668, 0.5897912502084479, 0.20621369145005275, 0.5887931442016525, 0.05006697299143226]","[4, 3, 2, 5, 1, [1.2359492041065956, 1.1226031188383065]]",-40.959057,0.499,6214.408732529506,-85.96382564525396,0,1
26,"[0.42291017144130894, 0.9981478549688606, 0.7966115574901851, 0.8364396439942278, 0.5088005491061636, 0.23628208377801552, 0.31946235081989083, 0.7933011900539558, 0.9565489764187263, 0.699823401705013]","[2, 1, 3, 4, 5, [1.0743950253250603, 1.0387110210878112]]",-34.500526,0.034,4265.854112034029,-28.057293285530193,1,0
27,"[0.8510234663939057, 0.3289793618318252, 0.7772965081811626, 0.6604176230654787, 0.6621733749546326, 0.6831832226429599, 0.2040700436152172, 0.5174881725649054, 0.6886768708577544, 0.01844540713376952]","[5, 3, 4, 2, 1, [1.3700815634328503, 1.1699596171336972]]",-47.134346,0.088,5611.319115840851,-50.25934495562774,3,0
28,"[0.23336345567975525, 0.8158588620039463, 0.8963866204492313, 0.706618368730288, 0.4728530406845297, 0.00043791228964906725, 0.10554182979612681, 0.7182453799793613, 0.5545435989213615, 0.6503227872634992]","[5, 3, 1, 4, 2, [1.3431487806311377, 1.1417806700255977]]",-24.000484,0.221,5993.907225897754,-165.69541761597083,1,0
29,"[0.28509046846790387, 0.2601421333897237, 0.5767243002144917, 0.21451698254568152, 0.38227026474103387, 0.07642649325169393, 0.5720582342703041, 0.9341183207074378, 0.7481641213224466, 0.7817424237895544]","[1, 5, 2, 3, 4, [1.3425914548733464, 1.1163620264711427]]",-34.156506,0.261,5543.114205887354,-33.13194174652273,0,1
30,"[0.7658689553192832, 0.6278847751952974, 0.47552779683184865, 0.7990244244584972, 0.5807895174119551, 0.942671090453201, 0.5977806265489779, 0.23849585717114663, 0.06731777668324279, 0.08935804025467486]","[4, 2, 3, 5, 1, [1.4780557268332788, 1.1234209711210192]]",-36.087196,0.013,5431.446196333893,-52.23607342847072,2,0
31,"[0.21299145176652912, 0.30389450329237855, 0.07771203985364938, 0.703432344847997, 0.6406037025222867, 0.5901249620703756, 0.21894131565739894, 0.10166936194719478, 0.5776945015723778, 0.21995402002801745]","[4, 5, 2, 3, 1, [1.4400653553511193, 1.4555853055814572]]",-36.003735,0.983,4345.869542762494,-172.62375396851678,0,1
32,"[0.06279545577603196, 0.7427049832067473, 0.9705919556704116, 0.8447253282048042, 0.8638430265278935, 0.9621820022774449, 0.7111545785311666, 0.6998851461715095, 0.6061140494021378, 0.02341046144133041]","[1, 5, 3, 4, 2, [1.457545120694968, 1.0429522860177747]]",-56.658947,1.0,6032.28097593516,7.952903440396909,2,0
33,"[0.1302361606716118, 0.5987052233737817, 0.4668124745466966, 0.05691880101409552, 0.062357260322606356, 0.20963396101326182, 0.7102752896114927, 0.455340179435636, 0.8061330156887543, 0.7618489751387657]","[5, 1, 3, 2, 4, [1.4234002557578906, 1.154812944497788]]",-42.8496,1.0,5378.214016751932,177.6395177713345,1,0
