eval_id,x,hub,f1,f2,f3,g1,g2,feasible
10,"[0.7424842116732404, 0.3356970836114517, 0.00921065799657117, 0.5333564262211142, 0.18956699187220505, 0.32011996751753846, 0.5664491371813656, 0.3918329723107977, 0.4590016363424163, 0.050458948610459076]","[1.0915077074160475, 1.4209477918759625]",-36.344627380371094,1.0,3907.468642306412,-122.95617847237327,0.0,1
11,"[0.006155669335288327, 0.4513766078981988, 0.613256681670192, 0.8026586252465906, 0.2906059077682427, 0.23204551611998447, 0.33109368071345846, 0.05919464671039454, 0.9314994667781543, 0.8806350809002281]","[1.301068085090655, 1.037293712110982]",-43.21495819091797,1.0,3948.640315186136,-275.39464535419347,0.0,1
12,"[0.23050736777684355, 0.3994430020003472, 0.17768312108581985, 0.484130910594359, 0.07519442630360906, 0.9568421661505032, 0.012996611642042799, 0.4965961443363097, 0.8380952953924874, 0.13251492264908082]","[1.2985509141606901, 1.2655412649666433]",-37.6738166809082,1.0,3970.7381095496075,-214.7385429158499,0.0,1
13,"[0.07482644255422188, 0.7401312499629299, 0.21417883012053884, 0.8695515555783495, 0.9065322424574986, 0.6893133058623288, 0.3942866712901717, 0.025647897127963226, 0.7611131728418318, 0.562817570968351]","[1.0411456247047635, 1.2853685934513344]",-49.68520736694336,1.0,3850.945695644746,-84.18737811817425,1.0,0
14,"[0.5179331099356654, 0.7476535197594388, 0.3151851034187104, 0.47403622225949027, 0.8929563307131257, 0.8166440705290728, 0.30996375517120167, 0.8817710808483114, 0.3987189364419349, 0.6823799448443975]","[1.3557552754066498, 1.200842484462505]",-37.586185455322266,0.1,3322.745692517608,-102.91538372869735,1.0,0
15,"[0.7715370379067442, 0.7702414655724522, 0.07837290492218618, 0.21213914882577256, 0.8953850271326209, 0.8794320598717107, 0.20557265759667276, 0.5513756583147158, 0.26268325844768114, 0.41628477156613086]","[1.010472422081203, 1.1408801183683759]",-47.687103271484375,0.978,3263.082437856896,-156.44999955566504,1.0,0
16,"[0.6576467600079774, 0.16691335878547553, 0.7770490207042496, 0.7825153662907529, 0.9421656316593494, 0.38069524000658606, 0.8731312620415899, 0.09368549297431539, 0.993906309433891, 0.21220747485396863]","[1.1869245722053186, 1.0467517273872962]",-48.436607360839844,0.428,3625.109462449814,-86.74822339428209,1.0,0
17,"[0.4341822332207885, 0.3049191826586233, 0.24864819916465264, 0.9302937489130779, 0.5982968449905018, 0.1541575029427562, 0.7571316253352183, 0.36956669018657895, 0.5988506638162991, 0.3799349341788377]","[1.319272926550482, 1.340968518786803]",-37.273170471191406,0.195,3650.967636248258,-213.19857193399173,1.0,0
18,"[0.6442476693303388, 0.2005303566832357, 0.5149392859956807, 0.01645945948648464, 0.8756598515631787, 0.5424458861963711, 0.04618702854343115, 0.9377589260828116, 0.9994364677711847, 0.7373054252872605]","[1.2156617269044259, 1.2957096410174]",-43.68630599975586,1.0,4228.214775952837,-252.20456505731738,1.0,0
19,"[0.2829551262065978, 0.9356865558408266, 0.7302890913744294, 0.871837117572774, 0.1674810081672875, 0.9762467026410432, 0.753517706913019, 0.16651737808920697, 0.5401208121935621, 0.11153341754909052]","[1.3622938991803102, 1.297590319686988]",-64.36228942871094,0.426,4281.321082434978,-119.23664640520315,1.0,0
20,"[0.0043001907504852666, 0.3953518057604567, 0.4038284511492043, 0.6710113104026503, 0.1949619252207303, 0.8760714488267184, 0.32508812283388366, 0.8268079808374883, 0.8276226232184107, 0.8848800971002195]","[1.1294145388379018, 1.4199328871325525]",-34.77032470703125,1.0,3209.311082569791,-66.1053314787149,1.0,0
21,"[0.7450348866476518, 0.8894983573045284, 0.2157905760841189, 0.6501660583206906, 0.7173945053263936, 0.8422279297235258, 0.34378554600189437, 0.6887947057130477, 0.6044006058026058, 0.4093610338226653]","[1.0508428785410817, 1.1765242168915702]",-31.07793617248535,0.254,2570.1296253293713,-54.95277448215978,2.0,0
22,"[0.7768482879275864, 0.9461829725207951, 0.9936568534146455, 0.4849152370071329, 0.1381690550005069, 0.024923602435105274, 0.49465670555808827, 0.0763549914853281, 0.11771307998234448, 0.23483907948984994]","[1.495996548970749, 1.081114278760283]",-26.255470275878906,0.566,3533.3205563350275,-119.37188919494423,2.0,0
23,"[0.5529869643862163, 0.8870121467184444, 0.015272435183649069, 0.2030974028229966, 0.8647679793230478, 0.5694728969947693, 0.4875580786370386, 0.36880428868132864, 0.29526571288950065, 0.6788297965535495]","[1.18286752779, 1.2176173537033075]",-30.626108169555664,1.0,2991.455617130714,-68.93150648669285,2.0,0
24,"[0.29045961628587613, 0.19457688761579417, 0.7550132519180535, 0.2195079915141478, 0.6089078108765937, 0.6014041791288685, 0.9632475898482437, 0.08962073043795493, 0.2075204227297318, 0.6615530572198147]","[1.1654497424988384, 1.0642914359335942]",-27.09009552001953,0.318,3889.8624874707716,-288.12611603779453,3.0,0
25,"[0.8351417342075574, 0.4859329784263382, 0.9624014436858985, 0.14461570487334963, 0.8918217642332203, 0.35954611893234156, 0.2362906836924623, 0.6571231551575867, 0.030188469259489592, 0.5254697248274498]","[1.2368025940330687, 1.0242525662910593]",-27.278583526611328,0.523,2586.8097183372383,3.037315439815444,0.0,0
26,"[0.7312406583584447, 0.5484830646246303, 0.6215032596259377, 0.3721443167968299, 0.42019325992063383, 0.49482967791705623, 0.46997091240616984, 0.6756392228496231, 0.5771775044961992, 0.4162706429924663]","[1.0009011768034095, 1.397015530387752]",-21.703123092651367,0.061,2529.9931425232335,20.20982855554726,1.0,0
27,"[0.7575365645348388, 0.6985947417360271, 0.8250134678055777, 0.79328366533945, 0.5828599453946457, 0.3499641877600487, 0.10742835312995902, 0.16381779297574706, 0.8712075744884107, 0.26650062593238233]","[1.447015334919893, 1.1530431715014249]",-26.080219268798828,0.007,2938.4722909421826,21.294078485778357,1.0,0
28,"[0.6358708041446514, 0.7527320970790866, 0.5151536963223518, 0.82589525837557, 0.4483805454001032, 0.33881245331376186, 0.27789921550015906, 0.22633305684340344, 0.5258168433452484, 0.43091206068443144]","[1.3315903102362978, 1.0064202411834033]",-11.129148483276367,0.024,2436.314273595282,32.3624387687843,0.0,0
29,"[0.05725705910185852, 0.2899974830836338, 0.38465057531290003, 0.10368010753270052, 0.4297612930140656, 0.7979429078588656, 0.4138198863286343, 0.49373414724032827, 0.9987729501752127, 0.2153195271485615]","[1.2719573288573056, 1.493878142878495]",-31.80750846862793,1.0,3814.1948525366647,45.540493227556,0.0,0
30,"[0.5220921065907778, 0.7744687729754793, 0.4171774343880905, 0.3532556606165881, 0.9108220921659664, 0.43070700374480275, 0.7464710369587361, 0.4970226157004175, 0.11221292406831795, 0.1268760779065603]","[1.2550612931635001, 1.3538389489501852]",-44.234474182128906,0.068,3594.485268590375,45.141616229518945,1.0,0
31,"[0.4477019015387208, 0.3651808011323914, 0.19539759987155403, 0.5948658710060528, 0.43531315595064457, 0.2999915037451498, 0.20941612123621955, 0.8746240571921795, 0.7974623155214327, 0.606709676684979]","[1.1725502893336461, 1.4734098954898243]",-30.0568790435791,0.314,3211.6148816490195,47.78516447287595,0.0,0
32,"[0.5633773745025455, 0.43276273961995204, 0.9004495990042221, 0.3193418039018624, 0.6959948701337834, 0.3138203272623701, 0.2615530463118, 0.7008408895008554, 0.22789197890735768, 0.4931103229848808]","[1.290014226510278, 1.0944531823772292]",-31.383066177368164,0.099,2212.0903252327234,54.81779314657831,0.0,0
33,"[0.27068090144591017, 0.9191304909520741, 0.5879702166328254, 0.1775164934316158, 0.4275645425413398, 0.49293616218995406, 0.6373601174260564, 0.5324478498483587, 0.42099270734434335, 0.3107930117753044]","[1.2874997544009439, 1.4879160068353645]",-39.96811294555664,0.38,3176.616394329211,55.819877919624474,0.0,0
34,"[0.08362765145734896, 0.9320824085782379, 0.12499955865727308, 0.14566874185476875, 0.7854702016115908, 0.3015314021630472, 0.4115541827996497, 0.4100234308800571, 0.70006605596892, 0.47233225860496875]","[1.4061025075631228, 1.247969572093838]",-24.60380744934082,0.924,3650.634637126619,58.480797975872406,0.0,0
35,"[0.010231902156670136, 0.10844932301271404, 0.33099943817048805, 0.4112686884886242, 0.7559488323569789, 0.17072977658825428, 0.11610473609591099, 0.6974639333086391, 0.8880321199869642, 0.8796672522975737]","[1.3709581005157043, 1.4917836500423354]",-33.121822357177734,1.0,3580.597142589992,64.69228972289804,0.0,0
36,"[0.7178343572828981, 0.7187932050275267, 0.850551259756355, 0.9796258488514935, 0.2754808528630017, 0.6283084586743911, 0.7392607956370342, 0.07962933757560675, 0.6629613377688489, 0.32151551530824796]","[1.0807345213304753, 1.2747357789173797]",-42.855960845947266,0.149,3496.525436334847,67.074382514279,3.0,0
37,"[0.16078650452811283, 0.7831343292771509, 0.1496055765932932, 0.7281969713021883, 0.07706848791542142, 0.41225211081351676, 0.024011331493556054, 0.6603726714939671, 0.2929158759379945, 0.46770008428541465]","[1.1432243599952372, 1.257887216321325]",-47.15103530883789,0.989,3684.978828808002,84.64324196968613,1.0,0
38,"[0.6283478623630906, 0.32133769545352076, 0.6557960559218892, 0.33815284273601076, 0.6685927884100901, 0.1283444014420535, 0.2799917441958927, 0.032718378196915365, 0.08390938896269085, 0.5547696198165065]","[1.1158491106961537, 1.2580412938188659]",-37.203216552734375,0.097,3086.02085462969,86.18935081849037,0.0,0
39,"[0.8270938070133592, 0.4653517170757224, 0.9606887020277379, 0.9366989347480371, 0.9002654171528618, 0.9083534610543227, 0.14704654594174182, 0.6483341011050769, 0.7411145400827215, 0.5287591672457896]","[1.2646104928313828, 1.100715454268475]",-24.55278205871582,0.015,2477.249859300417,92.28206183711467,0.0,0
40,"[0.4957244334967964, 0.5914193066587919, 0.5467064159249725, 0.1152692012378228, 0.716135524315577, 0.9120736349889094, 0.9265763828646507, 0.586668750518576, 0.3525112870284548, 0.6755103035703888]","[1.4723085521771107, 1.4890679297266949]",-29.43845558166504,0.707,3507.4293403042548,90.68895565807577,2.0,0
41,"[0.46188359707756765, 0.5770798329599061, 0.6419175904033568, 0.49866886134850175, 0.9051507074391362, 0.17791419839100442, 0.28879164900942544, 0.35622164118008504, 0.774382020078661, 0.6520981168659544]","[1.1032113400314056, 1.372220945296958]",-32.467105865478516,0.015,3034.6308891365734,96.09258783448362,0.0,0
42,"[0.659569533072841, 0.8811861793495235, 0.35506101458853867, 0.31867896643874516, 0.313666741563808, 0.11784964452439528, 0.6631833646572645, 0.8196545814372104, 0.47300486086298876, 0.5582973969485474]","[1.4792400568478092, 1.3494575858262443]",-33.106754302978516,0.1,3835.8507510218233,109.60195545924549,1.0,0
43,"[0.9634847481204788, 0.21652350161279854, 0.11363799358817561, 0.36767942473700777, 0.1009807921059821, 0.2671989318362714, 0.9144561221029246, 0.3187820814455795, 0.5858895145468258, 0.23874477955495155]","[1.3339899621992524, 1.0638281938324412]",-41.56397247314453,0.792,3942.596059914203,116.9481260109851,2.0,0
44,"[0.7898093832755049, 0.4229460447715928, 0.1836603870914313, 0.758249565648491, 0.5542825390272328, 0.4381450103309691, 0.24062604181377323, 0.7813658931947177, 0.36528505670346056, 0.043090690634595696]","[1.48268463492234, 1.0152324040624476]",-28.160608291625977,0.354,3612.267341815708,119.66552435437504,0.0,0
45,"[0.2589351675039948, 0.37440426122847836, 0.4493700221843081, 0.5928292560660468, 0.9805186398602482, 0.20942917933874872, 0.16238519618917013, 0.14533662442438278, 0.7747330486829124, 0.38245569953067815]","[1.4634833536423075, 1.0332796660325325]",-30.19477653503418,0.173,3575.324251738566,123.8681136797533,1.0,0
46,"[0.419580930338459, 0.48435065818854983, 0.976586484833995, 0.6746453961518705, 0.6718489551105283, 0.933888328549897, 0.7162948143876834, 0.9547723756151152, 0.633303004964886, 0.5874149048515857]","[1.142113213265799, 1.1153980418498908]",-15.867923736572266,0.034,1920.466321462161,175.37871734663184,1.0,0
47,"[0.5118814273652947, 0.8851177060251493, 0.8573010008865969, 0.19316997569865946, 0.3995968392250302, 0.5257783000795696, 0.09751514963535424, 0.08535616172648453, 0.841486558403682, 0.8267136201588152]","[1.1916446815358517, 1.3532923411064388]",-24.74952507019043,0.325,3448.8840913758804,201.40378693288255,0.0,0
48,"[0.28353426632010625, 0.8310576876132559, 0.6181307496852578, 0.6052685945074544, 0.21800593004626811, 0.25396254580418, 0.3953770523791057, 0.03387269818171201, 0.054731143300722596, 0.662682068619064]","[1.1582392801342682, 1.3601222380152485]",-33.83938980102539,0.25,3740.407481003099,211.15824037739782,1.0,0
49,"[0.012857887744930352, 0.6043157467736379, 0.4914833323409261, 0.6013821213404011, 0.5640238638655345, 0.89045910829968, 0.9183968578705968, 0.188257161102365, 0.9421208694705342, 0.7877266263227836]","[1.3195131261114832, 1.3298036337454746]",-37.02013397216797,1.0,3568.6996709314917,212.15922468626064,0.0,0
50,"[0.17893481367543618, 0.6399131657151546, 0.4672684011434851, 0.37050052710804804, 0.3549173343096512, 0.790518245853265, 0.9051438366771739, 0.17735319182304865, 0.652784802685132, 0.29830276735556926]","[1.4834811000811952, 1.459925080268639]",-38.43389129638672,0.374,3557.695546192342,-23.131367671688906,0.0,1
51,"[0.6358708041446514, 0.7527320970790866, 0.5151536963223518, 0.82589525837557, 0.4483805454001032, 0.33881245331376186, 0.27789921550015906, 0.22633305684340344, 0.5258168433452484, 0.43091206068443144]","[1.3315903102362978, 1.0064202411834033]",-11.129148483276367,0.024,2436.314273595282,32.3624387687843,0.0,0
52,"[0.4477019015387208, 0.3651808011323914, 0.19539759987155403, 0.5948658710060528, 0.43531315595064457, 0.2999915037451498, 0.20941612123621955, 0.8746240571921795, 0.7974623155214327, 0.606709676684979]","[1.1725502893336461, 1.4734098954898243]",-30.0568790435791,0.314,3211.6148816490195,47.78516447287595,0.0,0
53,"[0.5633773745025455, 0.43276273961995204, 0.9004495990042221, 0.3193418039018624, 0.6959948701337834, 0.3138203272623701, 0.2615530463118, 0.7008408895008554, 0.22789197890735768, 0.4931103229848808]","[1.290014226510278, 1.0944531823772292]",-31.383066177368164,0.099,2212.0903252327234,54.81779314657831,0.0,0
54,"[0.7312406583584447, 0.5484830646246303, 0.6215032596259377, 0.3721443167968299, 0.42019325992063383, 0.49482967791705623, 0.46997091240616984, 0.6756392228496231, 0.5771775044961992, 0.4162706429924663]","[1.0009011768034095, 1.397015530387752]",-21.703123092651367,0.061,2529.9931425232335,20.20982855554726,1.0,0
55,"[0.5193842211443356, 0.32654466381127, 0.49995502241119394, 0.09344593349461805, 0.9047040725533528, 0.9897361675845034, 0.05873521751558297, 0.3582312185913814, 0.7300645778190835, 0.3142381312178827]","[1.2835248791822245, 1.208285481157515]",-56.10460662841797,0.853,4329.552925468605,-324.78855109318476,0.0,1
56,"[0.7742121576308749, 0.9584644009640338, 0.8883954263166767, 0.6209354652000495, 0.1602743126680698, 0.9470620833116628, 0.023632428671776062, 0.29770945642086144, 0.2816134931005958, 0.6718259817227047]","[1.2436815330362556, 1.0464442743787237]",-39.99403381347656,0.458,3822.864417997185,-194.5686303005947,0.0,1
57,"[0.012857887744930352, 0.6043157467736379, 0.4914833323409261, 0.6013821213404011, 0.5640238638655345, 0.89045910829968, 0.9183968578705968, 0.188257161102365, 0.9421208694705342, 0.7877266263227836]","[1.3195131261114832, 1.3298036337454746]",-37.02013397216797,1.0,3568.6996709314917,212.15922468626064,0.0,0
58,"[0.5460602299006425, 0.9172632996428407, 0.23326320620013874, 0.5993159922695809, 0.8142430618716505, 0.13476145162112996, 0.615508274358867, 0.40283347552957394, 0.7660363414662829, 0.06771436062054059]","[1.3034071905171016, 1.4285393449933235]",-45.35595703125,0.222,4093.134014322476,-208.7235114360812,0.0,1
59,"[0.6283478623630906, 0.32133769545352076, 0.6557960559218892, 0.33815284273601076, 0.6685927884100901, 0.1283444014420535, 0.2799917441958927, 0.032718378196915365, 0.08390938896269085, 0.5547696198165065]","[1.1158491106961537, 1.2580412938188659]",-37.203216552734375,0.097,3086.02085462969,86.18935081849037,0.0,0
60,"[0.659569533072841, 0.8811861793495235, 0.35506101458853867, 0.31867896643874516, 0.313666741563808, 0.11784964452439528, 0.6631833646572645, 0.8196545814372104, 0.47300486086298876, 0.5582973969485474]","[1.4792400568478092, 1.3494575858262443]",-33.106754302978516,0.1,3835.8507510218233,109.60195545924549,1.0,0
61,"[0.7450348866476518, 0.8894983573045284, 0.2157905760841189, 0.6501660583206906, 0.7173945053263936, 0.8422279297235258, 0.34378554600189437, 0.6887947057130477, 0.6044006058026058, 0.4093610338226653]","[1.0508428785410817, 1.1765242168915702]",-31.07793617248535,0.254,2570.1296253293713,-54.95277448215978,2.0,0
62,"[0.9634847481204788, 0.21652350161279854, 0.11363799358817561, 0.36767942473700777, 0.1009807921059821, 0.2671989318362714, 0.9144561221029246, 0.3187820814455795, 0.5858895145468258, 0.23874477955495155]","[1.3339899621992524, 1.0638281938324412]",-41.56397247314453,0.792,3942.596059914203,116.9481260109851,2.0,0
63,"[0.7898093832755049, 0.4229460447715928, 0.1836603870914313, 0.758249565648491, 0.5542825390272328, 0.4381450103309691, 0.24062604181377323, 0.7813658931947177, 0.36528505670346056, 0.043090690634595696]","[1.48268463492234, 1.0152324040624476]",-28.160608291625977,0.354,3612.267341815708,119.66552435437504,0.0,0
64,"[0.12046907762387415, 0.46581253099537934, 0.20785494157193374, 0.3351350375860954, 0.5675652419333407, 0.9578419522589532, 0.9363122242578448, 0.07389597584523522, 0.8533136562599993, 0.16782365513224518]","[1.4057164362516168, 1.1481736089240997]",-42.72370147705078,0.669,4087.710174458179,-6.0099603397742385,0.0,1
65,"[0.7178343572828981, 0.7187932050275267, 0.850551259756355, 0.9796258488514935, 0.2754808528630017, 0.6283084586743911, 0.7392607956370342, 0.07962933757560675, 0.6629613377688489, 0.32151551530824796]","[1.0807345213304753, 1.2747357789173797]",-42.855960845947266,0.149,3496.525436334847,67.074382514279,3.0,0
66,"[0.46188359707756765, 0.5770798329599061, 0.6419175904033568, 0.49866886134850175, 0.9051507074391362, 0.17791419839100442, 0.28879164900942544, 0.35622164118008504, 0.774382020078661, 0.6520981168659544]","[1.1032113400314056, 1.372220945296958]",-32.467105865478516,0.015,3034.6308891365734,96.09258783448362,0.0,0
67,"[0.7715370379067442, 0.7702414655724522, 0.07837290492218618, 0.21213914882577256, 0.8953850271326209, 0.8794320598717107, 0.20557265759667276, 0.5513756583147158, 0.26268325844768114, 0.41628477156613086]","[1.010472422081203, 1.1408801183683759]",-47.687103271484375,0.978,3263.082437856896,-156.44999955566504,1.0,0
68,"[0.27068090144591017, 0.9191304909520741, 0.5879702166328254, 0.1775164934316158, 0.4275645425413398, 0.49293616218995406, 0.6373601174260564, 0.5324478498483587, 0.42099270734434335, 0.3107930117753044]","[1.2874997544009439, 1.4879160068353645]",-39.96811294555664,0.38,3176.616394329211,55.819877919624474,0.0,0
69,"[0.5529869643862163, 0.8870121467184444, 0.015272435183649069, 0.2030974028229966, 0.8647679793230478, 0.5694728969947693, 0.4875580786370386, 0.36880428868132864, 0.29526571288950065, 0.6788297965535495]","[1.18286752779, 1.2176173537033075]",-30.626108169555664,1.0,2991.455617130714,-68.93150648669285,2.0,0
70,"[0.7768482879275864, 0.9461829725207951, 0.9936568534146455, 0.4849152370071329, 0.1381690550005069, 0.024923602435105274, 0.49465670555808827, 0.0763549914853281, 0.11771307998234448, 0.23483907948984994]","[1.495996548970749, 1.081114278760283]",-26.255470275878906,0.566,3533.3205563350275,-119.37188919494423,2.0,0
71,"[0.11013211899741604, 0.9159237744769517, 0.6220697409528387, 0.739900702350839, 0.3547334554703645, 0.9338325089891943, 0.9761006353570684, 0.5584557017778705, 0.9868402765278871, 0.505794352818757]","[1.2198701419672127, 1.3927170007299507]",-47.780120849609375,0.731,3169.671291953381,-41.91438581038403,0.0,1
72,"[0.6442476693303388, 0.2005303566832357, 0.5149392859956807, 0.01645945948648464, 0.8756598515631787, 0.5424458861963711, 0.04618702854343115, 0.9377589260828116, 0.9994364677711847, 0.7373054252872605]","[1.2156617269044259, 1.2957096410174]",-43.68630599975586,1.0,4228.214775952837,-252.20456505731738,1.0,0
73,"[0.010231902156670136, 0.10844932301271404, 0.33099943817048805, 0.4112686884886242, 0.7559488323569789, 0.17072977658825428, 0.11610473609591099, 0.6974639333086391, 0.8880321199869642, 0.8796672522975737]","[1.3709581005157043, 1.4917836500423354]",-33.121822357177734,1.0,3580.597142589992,64.69228972289804,0.0,0
74,"[0.5220921065907778, 0.7744687729754793, 0.4171774343880905, 0.3532556606165881, 0.9108220921659664, 0.43070700374480275, 0.7464710369587361, 0.4970226157004175, 0.11221292406831795, 0.1268760779065603]","[1.2550612931635001, 1.3538389489501852]",-44.234474182128906,0.068,3594.485268590375,45.141616229518945,1.0,0
75,"[0.7424842116732404, 0.3356970836114517, 0.00921065799657117, 0.5333564262211142, 0.18956699187220505, 0.32011996751753846, 0.5664491371813656, 0.3918329723107977, 0.4590016363424163, 0.050458948610459076]","[1.0915077074160475, 1.4209477918759625]",-36.344627380371094,1.0,3907.468642306412,-122.95617847237327,0.0,1
76,"[0.5118814273652947, 0.8851177060251493, 0.8573010008865969, 0.19316997569865946, 0.3995968392250302, 0.5257783000795696, 0.09751514963535424, 0.08535616172648453, 0.841486558403682, 0.8267136201588152]","[1.1916446815358517, 1.3532923411064388]",-24.74952507019043,0.325,3448.8840913758804,201.40378693288255,0.0,0
77,"[0.5179331099356654, 0.7476535197594388, 0.3151851034187104, 0.47403622225949027, 0.8929563307131257, 0.8166440705290728, 0.30996375517120167, 0.8817710808483114, 0.3987189364419349, 0.6823799448443975]","[1.3557552754066498, 1.200842484462505]",-37.586185455322266,0.1,3322.745692517608,-102.91538372869735,1.0,0
